Latitude,Longitude
39.0185299,-104.8936179
39.0185299,-104.8936179
39.01852994,-104.8936177
39.01852994,-104.8936175
39.01852982,-104.8936174
39.01852969,-104.8936174
39.01852965,-104.8936173
39.01843236,-104.8935122
39.01841919,-104.8934979
39.01840627,-104.8934841
39.01839185,-104.8934699
39.01837676,-104.8934534
39.01836231,-104.8934372
39.01835085,-104.8934239
39.01822901,-104.8932907
39.01821592,-104.8932769
39.01820232,-104.8932621
39.01818796,-104.8932476
39.01817545,-104.8932339
39.01816222,-104.8932187
39.0181498,-104.8932055
39.0181356,-104.8931907
39.01812307,-104.8931767
39.01811056,-104.8931631
39.01809585,-104.8931483
39.0180829,-104.8931339
39.01806928,-104.8931198
39.01805697,-104.8931059
39.01804309,-104.8930892
39.0180296,-104.8930751
39.01801639,-104.8930611
39.01800412,-104.8930484
